datetime,open,high,low,close,volume
2018-05-18 00:00:00,668.56,694.71,656.5,694.5,84713.72667052
2018-05-19 00:00:00,694.5,715.76,676.84,695.96,51170.47405967
2018-05-20 00:00:00,695.97,723.0,687.7,714.0,51152.5577087
2018-05-21 00:00:00,714.0,717.0,686.05,696.77,49334.83836469
2018-05-22 00:00:00,696.77,699.0,638.0,640.5,102285.02351164
2018-05-23 00:00:00,640.13,648.46,563.27,577.2,214309.26173537
2018-05-24 00:00:00,577.2,609.21,545.36,602.64,136326.78521805
2018-05-25 00:00:00,602.65,616.0,568.27,584.02,99242.20155189
2018-05-26 00:00:00,584.02,606.0,577.65,584.99,44818.80475184
2018-05-27 00:00:00,585.0,589.5,556.0,570.75,54447.36889848
2018-05-28 00:00:00,570.75,575.0,507.0,511.33,115800.06325204
2018-05-29 00:00:00,511.33,573.64,510.91,566.66,136873.46762627
2018-05-30 00:00:00,566.65,585.92,541.23,557.22,99280.45946439
2018-05-31 00:00:00,557.22,589.0,553.6,577.1,97490.97141173
2018-06-01 00:00:00,577.1,588.0,561.11,578.89,97547.89157134
2018-06-02 00:00:00,578.89,600.0,571.75,590.46,64556.52789267
2018-06-03 00:00:00,590.46,627.83,590.46,618.63,54877.31717722
2018-06-04 00:00:00,618.63,626.55,576.15,591.5,67683.92429136
2018-06-05 00:00:00,591.51,612.0,574.31,607.6,75119.33350357
2018-06-06 00:00:00,607.6,611.69,592.63,606.18,77825.6268239
2018-06-07 00:00:00,606.19,615.26,594.0,603.56,94570.72725134
2018-06-08 00:00:00,603.56,607.0,591.0,598.59,39747.97679678
2018-06-09 00:00:00,598.6,608.0,591.81,593.41,26760.9322832
2018-06-10 00:00:00,593.4,593.41,505.0,525.25,141919.66454912
2018-06-11 00:00:00,525.25,536.85,509.97,531.68,113031.3876127
2018-06-12 00:00:00,531.68,538.99,485.0,494.14,122418.52638227
2018-06-13 00:00:00,494.14,502.4,450.11,476.02,166483.47004971
2018-06-14 00:00:00,476.03,530.0,459.45,519.75,217414.28431916
2018-06-15 00:00:00,519.75,521.0,481.57,487.45,101900.02747789
2018-06-16 00:00:00,487.45,502.97,484.12,497.31,44820.26736856
2018-06-17 00:00:00,496.99,507.83,493.33,496.5,35010.38637307
2018-06-18 00:00:00,496.5,525.0,488.0,517.47,72652.16283089
2018-06-19 00:00:00,517.47,547.4,514.45,538.5,71905.8945705
2018-06-20 00:00:00,538.5,541.8,516.67,536.0,63547.84183023
2018-06-21 00:00:00,536.0,544.23,521.5,525.49,52814.33055734
2018-06-22 00:00:00,525.5,525.65,449.02,462.01,159809.3519873
2018-06-23 00:00:00,462.01,481.74,457.87,475.17,48107.42304878
2018-06-24 00:00:00,475.18,476.9,421.1,454.79,148560.96982973
2018-06-25 00:00:00,454.79,473.27,445.0,458.41,82314.39474815
2018-06-26 00:00:00,458.41,460.72,429.0,429.08,77287.0907213
2018-06-27 00:00:00,429.08,446.21,420.12,441.41,72744.76141836
2018-06-28 00:00:00,441.5,443.78,417.0,420.0,58039.79406083
2018-06-29 00:00:00,420.01,442.0,404.22,434.6,99473.38572708
2018-06-30 00:00:00,434.5,462.49,434.5,453.29,58391.94222717
